	fluxes
EX_ac_e	3.325279841763386
EX_fe3_e	-0.0005194774013418863
EX_glc__D_e	-1.6764492320277395
EX_glu__L_e	-1.0
EX_ca2_e	-0.00048258697718862214
EX_cit_e	-0.7629416318992901
EX_so4_e	-0.025645018286070943
EX_co2_e	7.690095548034269
EX_glyclt_e	5.5260349649936625e-05
EX_trp__L_e	-0.008181543211395
EX_h2o_e	6.510076915885753
3AMPt6	0.0
PHEt2r	0.0
2S6HCCi	4.005246050926543e-05
FDH	0.0011907325477517443
EX_k_e	-0.10635162965118565
FBA	1.5361524394201975
FBA2	0.0
ACACT2r	0.004212434718823368
ACACT3r	0.004212434718823368
ACACT4r	0.004212434718823368
ACACT5r_1	0.004212434718823368
ACACT6r_1	0.004212434718823368
ACACT7r	0.0032403343990948987
ACACT1r	0.004212434718823368
ACCOAC	0.15326781707718873
ACGK	0.02906378187953978
FOLD3	5.5260349649936625e-05
ACt2r	-3.325279841763386
ACKr	-3.260968539477261
ACLDC	0.002579619373851936
ACONT	0.7629416318992902
ACOAD2	0.004212434718823368
ACOAD1	0.004212434718823368
ACOADH2	5.387291385849612e-17
ACOTA	-0.02906378187953979
APATi	0.06431130228612557
APSR	0.025645018286070943
APTA1i	0.06431130228612558
ACTD2	0.0025796193738519355
ADADir	0.0
ADNK1	-2.5849394142282115e-26
ADCL	5.5260349649936625e-05
ADCS	5.5260349649936625e-05
ADK1	0.22774325936995737
EX_mg2_e	-0.015315398376837286
AMMQT7	4.0052460509265434e-05
ADPDA	0.06431130228612558
ADSL2r	0.027426901059273267
ADSL1r	0.027520858710994297
ADSS	0.027520858710994293
ARGSL	0.02906378187953979
ARGSS	0.029063781879539785
AGPATr_BS	0.01620167199547449
AGPR	-0.029063781879539785
AICART	0.03973460056892094
AKGDH	1.6158578544954674
AIRC1	0.027426901059273267
ATPM	9.0
BIOMASS_BS_10	0.15057315980924246
EX_nh4_e	-0.18979538042493585
ALAALAr	0.015330907412297637
AKP1	5.5260349649936625e-05
